date,close
2010-01-04,1.4412
2010-01-05,1.4361
2010-01-06,1.4399
2010-01-07,1.4304
2010-01-08,1.4398
2010-01-11,1.4512
2010-01-12,1.449
2010-01-13,1.4499
2010-01-14,1.4497
2010-01-15,1.4385
2010-01-18,1.4385
2010-01-19,1.4288
2010-01-20,1.4106
2010-01-21,1.4084
2010-01-22,1.4134
2010-01-25,1.4147
2010-01-26,1.4077
2010-01-27,1.4033
2010-01-28,1.396
2010-01-29,1.3861
2010-02-01,1.3932
2010-02-02,1.3966
2010-02-03,1.3891
2010-02-04,1.3727
2010-02-05,1.3677
2010-02-08,1.3656
2010-02-09,1.3794
2010-02-10,1.3734
2010-02-11,1.3689
2010-02-12,1.363
2010-02-15,1.3598
2010-02-16,1.3758
2010-02-17,1.3599
2010-02-18,1.349
2010-02-19,1.3611
2010-02-22,1.36
2010-02-23,1.3513
2010-02-24,1.3538
2010-02-25,1.3539
2010-02-26,1.3631
2010-03-01,1.3568
2010-03-02,1.3607
2010-03-03,1.3694
2010-03-04,1.3579
2010-03-05,1.3624
2010-03-08,1.3627
2010-03-09,1.3601
2010-03-10,1.3655
2010-03-11,1.3676
2010-03-12,1.3767
2010-03-15,1.3672
2010-03-16,1.3762
2010-03-17,1.3736
2010-03-18,1.3607
2010-03-19,1.3528
2010-03-22,1.3557
2010-03-23,1.349
2010-03-24,1.3327
2010-03-25,1.3271
2010-03-26,1.3408
2010-03-29,1.3474
2010-03-30,1.3418
2010-03-31,1.3506
2010-04-01,1.3583
2010-04-02,1.3502
2010-04-05,1.3481
2010-04-06,1.3393
2010-04-07,1.3338
2010-04-08,1.3357
2010-04-09,1.3499
2010-04-12,1.3586
2010-04-13,1.3615
2010-04-14,1.365
2010-04-15,1.3579
2010-04-16,1.3501
2010-04-19,1.3489
2010-04-20,1.3441
2010-04-21,1.3386
2010-04-22,1.3286
2010-04-23,1.3384
2010-04-26,1.3392
2010-04-27,1.3159
2010-04-28,1.3205
2010-04-29,1.3242
2010-04-30,1.3293
2010-05-03,1.3187
2010-05-04,1.2972
2010-05-05,1.2818
2010-05-06,1.2627
2010-05-07,1.2748
2010-05-10,1.2787
2010-05-11,1.2632
2010-05-12,1.2629
2010-05-13,1.2521
2010-05-14,1.2357
2010-05-17,1.2399
2010-05-18,1.2173
2010-05-19,1.2423
2010-05-20,1.2468
2010-05-21,1.2571
2010-05-24,1.2345
2010-05-25,1.2371
2010-05-26,1.216
2010-05-27,1.2356
2010-05-28,1.2271
2010-05-31,1.2308
2010-06-01,1.2211
2010-06-02,1.2249
2010-06-03,1.2161
2010-06-04,1.1964
2010-06-07,1.1917
2010-06-08,1.1963
2010-06-09,1.1984
2010-06-10,1.2108
2010-06-11,1.211
2010-06-14,1.2213
2010-06-15,1.2323
2010-06-16,1.23
2010-06-17,1.238
2010-06-18,1.2389
2010-06-21,1.2323
2010-06-22,1.2268
2010-06-23,1.2308
2010-06-24,1.2328
2010-06-25,1.2368
2010-06-28,1.2281
2010-06-29,1.2188
2010-06-30,1.2232
2010-07-01,1.2518
2010-07-02,1.2564
2010-07-05,1.2537
2010-07-06,1.2624
2010-07-07,1.263
2010-07-08,1.2693
2010-07-09,1.264
2010-07-12,1.2588
2010-07-13,1.2727
2010-07-14,1.2742
2010-07-15,1.293
2010-07-16,1.293
2010-07-19,1.2947
2010-07-20,1.2891
2010-07-21,1.2753
2010-07-22,1.2886
2010-07-23,1.2911
2010-07-26,1.2987
2010-07-27,1.3
2010-07-28,1.2987
2010-07-29,1.3079
2010-07-30,1.3049
2010-08-02,1.3175
2010-08-03,1.3226
2010-08-04,1.3154
2010-08-05,1.3184
2010-08-06,1.328
2010-08-09,1.3224
2010-08-10,1.3174
2010-08-11,1.2844
2010-08-12,1.2828
2010-08-13,1.2756
2010-08-16,1.2821
2010-08-17,1.2879
2010-08-18,1.2852
2010-08-19,1.2815
2010-08-20,1.271
2010-08-23,1.2646
2010-08-24,1.2631
2010-08-25,1.2663
2010-08-26,1.2716
2010-08-27,1.2761
2010-08-30,1.2663
2010-08-31,1.2688
2010-09-01,1.2802
2010-09-02,1.2825
2010-09-03,1.2895
2010-09-06,1.2875
2010-09-07,1.2683
2010-09-08,1.2723
2010-09-09,1.2697
2010-09-10,1.2675
2010-09-13,1.2877
2010-09-14,1.2987
2010-09-15,1.3012
