日付,終値(電気機器),終値(輸送用機器),終値(情報 - 通信業),終値(卸売業),終値(銀行業),終値(化学),終値(小売業)
2023-07-31,4119.01,4029.84,5279.14,3250.64,240.86,2363.43,1591.02
2023-07-28,4079.3,3919.06,5213.52,3169.93,237.71,2316.66,1575.66
2023-07-27,4118.12,3959.29,5243.77,3187.13,227.25,2328.21,1574.62
2023-07-26,4105.29,3970.06,5207.86,3172.26,225.17,2326.24,1560.06
2023-07-25,4107.96,4015.11,5196.14,3185.83,225.48,2316.49,1556.48
2023-07-24,4110.42,3971.28,5254.94,3170.3,222.77,2315.84,1561.01
2023-07-21,4070.19,3906.68,5210.14,3143.65,225.76,2298.92,1550.44
2023-07-20,4084.26,3899.12,5214.59,3139.26,226.53,2306.36,1544.97
2023-07-19,4155.1,3908.52,5244.63,3143.91,228.07,2329.0,1552.2
2023-07-18,4113.01,3812.98,5198.0,3096.47,227.23,2310.17,1541.52
2023-07-14,4064.34,3770.54,5210.55,3068.55,222.39,2307.61,1539.07
2023-07-13,4057.08,3775.68,5217.65,3074.07,223.09,2313.77,1563.61
2023-07-12,3968.89,3766.06,5151.24,3033.44,224.12,2294.22,1562.5
2023-07-11,4028.56,3786.48,5138.27,3095.66,220.71,2317.72,1546.95
2023-07-10,4020.9,3844.48,5166.41,3094.29,222.52,2321.31,1544.57
2023-07-07,4062.1,3901.99,5157.85,3102.39,222.68,2319.62,1534.65
2023-07-06,4117.96,3956.19,5201.96,3142.58,224.13,2349.16,1540.07
2023-07-05,4189.59,3980.99,5264.29,3186.76,227.72,2381.42,1554.83
2023-07-04,4188.57,3964.07,5275.78,3188.83,229.27,2384.8,1565.34
2023-07-03,4226.76,3962.96,5305.33,3224.0,222.58,2407.89,1569.67
2023-06-30,4131.8,3916.56,5273.06,3164.77,220.41,2360.71,1560.74
2023-06-29,4144.7,3904.19,5289.67,3192.64,220.35,2373.92,1564.54
2023-06-28,4129.45,3896.58,5320.62,3202.34,217.74,2380.53,1567.3
2023-06-27,4034.54,3791.84,5185.53,3135.9,213.69,2340.67,1542.01
2023-06-26,4064.26,3781.12,5195.4,3163.06,212.05,2345.93,1545.89
2023-06-23,4079.16,3774.16,5225.94,3193.95,213.84,2317.74,1544.69
2023-06-22,4135.94,3849.91,5297.16,3305.53,216.5,2344.51,1552.5
2023-06-21,4191.99,3822.42,5309.07,3252.01,211.36,2361.15,1559.61
2023-06-20,4184.68,3823.69,5266.64,3247.4,209.35,2361.43,1549.57
2023-06-19,4182.49,3841.21,5290.97,3181.88,211.61,2377.94,1547.22
2023-06-16,4218.17,3903.85,5295.58,3186.9,209.57,2390.88,1555.81
2023-06-15,4221.05,3921.37,5246.06,3149.48,210.08,2367.05,1548.02
2023-06-14,4215.03,3917.62,5269.92,3131.98,210.59,2373.91,1559.45
2023-06-13,4181.57,3756.66,5233.79,3050.93,206.44,2343.25,1544.58
2023-06-12,4121.8,3633.2,5170.63,2992.52,206.28,2321.74,1536.61
2023-06-09,4076.5,3607.91,5134.7,2975.0,207.19,2301.55,1537.18
2023-06-08,4009.54,3549.86,5066.64,2882.96,205.52,2272.43,1514.46
2023-06-07,4057.22,3564.29,5142.53,2879.7,204.92,2291.88,1522.84
2023-06-06,4137.61,3604.05,5173.17,2923.73,206.97,2319.68,1536.76
2023-06-05,4126.03,3569.6,5138.55,2852.11,208.6,2299.55,1525.83
2023-06-02,4029.99,3487.46,5100.33,2789.87,206.61,2254.81,1514.11
2023-06-01,3977.61,3396.98,5018.32,2742.1,205.18,2220.48,1495.35
2023-05-31,3934.34,3375.5,4951.12,2697.67,201.74,2214.33,1483.31
2023-05-30,3983.89,3428.4,4991.93,2823.72,201.84,2247.43,1504.49
2023-05-29,3965.61,3405.12,5004.76,2819.39,202.28,2255.05,1513.79
2023-05-26,3957.87,3396.96,4949.58,2745.28,198.7,2248.17,1514.52
2023-05-25,3928.15,3403.48,4970.21,2725.93,200.3,2247.6,1519.94
2023-05-24,3890.56,3417.1,5018.33,2733.4,203.11,2241.84,1531.95
2023-05-23,3908.07,3340.79,5067.3,2739.47,201.89,2267.14,1560.67
2023-05-22,3944.69,3415.25,5093.44,2756.94,202.26,2275.1,1573.19
2023-05-19,3920.48,3398.0,5070.36,2737.83,203.23,2265.67,1564.41
2023-05-18,3902.14,3387.78,5069.92,2738.98,206.45,2244.85,1565.46
2023-05-17,3783.17,3336.69,5077.22,2687.77,204.6,2218.63,1564.04
2023-05-16,3772.04,3335.52,5031.29,2684.89,202.2,2220.47,1555.89
2023-05-15,3730.81,3345.45,5024.04,2681.5,200.32,2212.62,1538.95
2023-05-12,3707.67,3354.57,4966.04,2659.61,197.64,2192.6,1528.91
2023-05-11,3670.28,3293.78,4967.83,2654.71,198.23,2180.31,1507.95
2023-05-10,3661.1,3322.96,4956.09,2666.81,197.24,2184.3,1504.37
2023-05-09,3692.25,3323.84,4979.95,2668.18,196.9,2196.71,1505.95
2023-05-08,3643.1,3246.45,4937.64,2598.42,193.59,2186.46,1493.16
2023-05-02,3658.57,3261.26,4947.9,2591.02,196.08,2204.65,1499.1
2023-05-01,3640.32,3277.31,4933.58,2610.28,197.38,2208.79,1510.76
2023-04-28,3597.2,3242.17,4910.79,2576.3,194.44,2174.72,1497.91
2023-04-27,3565.26,3172.67,4825.94,2557.31,194.98,2170.13,1479.32
2023-04-26,3532.32,3127.04,4832.14,2544.88,192.12,2164.75,1478.25
2023-04-25,3585.9,3154.2,4847.97,2567.56,196.15,2177.11,1488.82
2023-04-24,3577.17,3150.77,4837.61,2562.29,194.56,2177.48,1485.82
2023-04-21,3581.78,3142.63,4817.76,2565.78,196.63,2177.4,1482.64
2023-04-20,3583.61,3171.44,4843.9,2564.8,200.21,2169.76,1483.54
2023-04-19,3567.4,3178.21,4874.65,2580.53,199.48,2175.03,1476.71
2023-04-18,3574.63,3190.78,4885.93,2581.2,197.2,2180.46,1482.03
2023-04-17,3568.13,3182.23,4815.74,2558.43,194.58,2170.83,1461.04
2023-04-14,3547.28,3142.81,4818.13,2575.27,190.67,2169.42,1469.61
2023-04-13,3525.26,3157.88,4792.33,2521.48,190.63,2155.06,1445.16
2023-04-12,3528.93,3173.06,4784.67,2520.62,191.45,2147.98,1430.9
2023-04-11,3506.95,3165.58,4756.36,2472.46,190.52,2122.5,1421.5
2023-04-10,3463.52,3146.04,4735.42,2416.95,190.51,2113.92,1409.77
2023-04-07,3455.79,3130.75,4730.56,2404.44,189.34,2107.56,1396.19
2023-04-06,3434.76,3126.64,4747.77,2396.06,187.05,2105.09,1408.82
2023-04-05,3518.47,3185.86,4762.61,2411.96,189.2,2131.48,1416.44
2023-04-04,3583.34,3267.28,4815.3,2482.68,192.89,2170.4,1437.66
2023-04-03,3588.04,3255.48,4822.64,2481.18,191.59,2164.68,1440.08
2023-03-31,3586.79,3224.1,4779.87,2467.08,188.0,2161.95,1428.07
2023-03-30,3542.02,3170.18,4766.11,2403.91,185.78,2141.34,1417.69
