日付,終値(電気機器),終値(輸送用機器),終値(情報 - 通信業),終値(卸売業),終値(銀行業),終値(化学),終値(小売業)
2000-01-04,,,,,,,
2000-01-05,-0.07153696196362513,-0.003913325708633342,-0.08024810515114922,-0.08986105949283851,0.004273707203571009,0.01318813682231057,-0.03459513324984187
2000-01-06,-0.059201775158517544,-0.06348605404600238,-0.045492941378490914,-0.03792905774168975,0.03754314624804955,0.013853507048062541,-0.021655739991630618
2000-01-07,-0.029390319676392607,0.016985546049187006,-0.04657451104032162,-0.033082203521259124,0.017613817618374883,0.02944625251268307,0.016139725539119576
2000-01-11,0.0845861653378972,0.02657439265978523,0.11603843170291461,0.053207833867972454,0.004075326361987708,0.01848042121412874,0.07231705007050704
2000-01-12,-0.02896067407271341,-0.012486193456650585,-0.02940468241132732,0.03230124315702576,-0.024932539417051425,-0.00985997466534283,0.011357762991749842
2000-01-13,-0.019822982502930686,0.008935056920812201,-0.013097908803786584,0.03216789732361214,-0.004025341353521061,0.028952433641068254,-0.014005421035948262
2000-01-14,-0.007678873132486608,0.011245118089667994,-0.03969220401111806,-0.004415658662815125,-0.0039038280478564946,0.008468216185942179,-0.03393956094424544
2000-01-17,0.02190125464313608,0.003584884263051258,0.028502045938941345,0.04606759401279947,-0.0017981879798049105,0.02821250458175517,0.04393358008760906
2000-01-18,-0.01865187329955309,-0.022870093100049615,-0.00223293259684465,-0.007461392889646423,-0.0010854754151367052,-0.0018364282550691335,-0.037745423318630844
2000-01-19,-0.025237977146563395,-0.034520199424342146,-0.04672876906627488,-0.03894828000261996,-0.007074817349486784,-0.014220625317907798,-0.01567148033966126
2000-01-20,0.00465445483841509,0.03279986691066372,0.005735281279297899,-0.031318860223684464,-0.0079169189214362,0.01000142720695596,-0.003969943816366062
2000-01-21,0.0027531126730842015,0.01599185588000296,-0.01212221853204909,-0.002157514168458108,-0.014904004130873671,-0.0018804756625143693,-0.015370717713907522
2000-01-24,0.01884978129461934,0.009601359664142661,0.017002475587952093,0.027990818572805054,-0.01813156703438079,0.006523277974407771,0.03209675950891899
2000-01-25,-0.004569649014093513,-0.0355716080402011,-0.007704545155734488,0.0033226135861363915,-0.010313030817762692,-0.011306587033670934,-0.023003324964375405
2000-01-26,0.027789571807551372,0.017474615239323477,0.053578290060210865,0.01822904798796876,0.011229618732377045,0.005427942962825227,0.009390193082372544
2000-01-27,0.017011852698539,-0.008276789143515595,0.04717426884195053,0.012957078279550727,0.0305506388962975,0.003112925170068115,0.017167588693474345
2000-01-28,0.0167364527882381,0.015820354102254575,-0.0028170705554364517,0.033454840016200915,0.023668917488177232,0.0013780232419353666,0.002888511570958041
2000-01-31,-0.0087801771655317,0.011056183202226455,-0.005493494003265487,0.028830395188758517,-0.0036774000781446547,0.0028497746185853767,-0.005895287816854888
2000-02-01,-0.0031122532471073994,0.01131235938108821,0.00530586118607701,0.00037400265957465706,-0.03409536552169612,-0.0038033084461539524,-0.017383634143031568
2000-02-02,0.012299405093035842,-0.0033246746790291937,0.00789355488748189,-0.009083482186128422,0.0216378877982375,0.009121573986702547,-0.007430015605794815
2000-02-03,0.009198060089187665,-0.004233615782221256,0.017486947108899864,0.10597655212889356,0.002992262196975126,-0.0016552020636284581,-0.01264070348262869
2000-02-04,0.009498077769975133,0.02290487401693131,0.012101970681415386,0.03995729465425102,-0.003612632560307638,-0.012574553754064244,-0.012048617227408798
2000-02-07,0.014024641867594223,0.017188819921401643,0.019593864192536614,0.010770324203160042,-0.0034619883040936106,0.006138380688632594,0.0041579003672931325
2000-02-08,-0.013388834305181674,-0.008918577360534363,-0.007613429035101094,-0.04544088658108569,-0.032486737711844405,0.0046488442908074745,-0.0016122388102103313
2000-02-09,-0.0011637773561334885,0.0012387059166423242,0.005741589161767369,0.04754739314113743,-0.004827987772332509,0.004756768417646384,-0.010948204110378446
2000-02-10,-0.0117988183483424,-0.022299444484874975,-0.014636975633280591,0.06819807312045101,-0.01784538872229946,-0.01565200588292137,-0.04543558317509622
2000-02-14,-0.012530707396938068,-0.024979065223459385,-0.0024702217577925456,0.08875822877398298,-0.037009457144984825,-0.003751649526136047,-0.032046113852993385
2000-02-15,-0.016250578110688974,-0.02762297376390055,0.012981717524987113,-0.009622490374925685,-0.05155170636148054,-0.01489890420256379,-0.041957933085270294
2000-02-16,-0.0032540260506447316,0.0025450453397537487,-0.008135588782967051,0.004722322234571585,0.038020437004022245,0.0022891941147709094,-0.011253575143005845
2000-02-17,0.024723784157048456,0.028811955493196706,0.007265288615404986,0.004637804599372686,-0.018510276214164123,0.03307315342483963,0.03600220237165863
2000-02-18,-0.008622038242620422,0.0020107833809070996,-0.0013217071149442816,0.04639140616518733,0.01755228339735382,-0.012202582182298194,-0.01024843735127079
2000-02-21,-0.003007240439645953,-0.019624351921603833,-0.036428668655404506,-0.018763431563866284,-0.04026634509516058,-0.019687092568448472,-0.05501057895749195
2000-02-22,-0.021226795557408806,-0.01611705527969165,-0.030504430231093616,-0.060020038566688694,-0.0027588090685606304,-0.005064946579775631,-0.028690888119953795
2000-02-23,-0.005488644880011773,0.015344127163305243,0.029482243768334193,-0.021243090371513063,0.03946971979511904,0.0116630092123291,0.047219481528695706
2000-02-24,0.024261431859115445,0.011647674020257348,0.03023063477853083,0.04029442346631651,-0.0010276679841897396,-0.0102292497082076,-0.025213236949398254
2000-02-25,0.021278089673257616,-0.004082780124080698,0.058427252699233545,0.011231344657614883,0.026061037693545286,0.022928278209792152,0.019364826837049653
